C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_35_807.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_35_807.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_35_807.jpg, 0, 0, 0, 7.811264E-05
C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_35_911.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_35_911.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_35_911.jpg, 0, 0, 0, 8.003445E-05
C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_36_016.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_36_016.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_36_016.jpg, 0, 0, 0, 7.824478E-05
C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_36_122.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_36_122.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_36_122.jpg, 0, 0, 0, 7.816809E-05
C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_36_221.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_36_221.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_36_221.jpg, 0, 0, 0, 7.824914E-05
C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_36_325.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_36_325.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_36_325.jpg, 0, 0, 0, 7.806177E-05
C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_36_434.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_36_434.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_36_434.jpg, 0, 0, 0, 7.793385E-05
C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_36_538.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_36_538.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_36_538.jpg, 0, 0, 0, 7.789223E-05
C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_36_638.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_36_638.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_36_638.jpg, 0, 0, 0, 7.800535E-05
C:\Users\Anas\Desktop\Data\IMG\center_2024_11_12_18_01_36_746.jpg, C:\Users\Anas\Desktop\Data\IMG\left_2024_11_12_18_01_36_746.jpg, C:\Users\Anas\Desktop\Data\IMG\right_2024_11_12_18_01_36_746.jpg, 0, 0, 0, 7.796851E-05
